"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2023","1,772.63","1,714.65","1,792.38","1,702.95","561.33K","3.38%"
"03/27/2023","1,714.65","1,773.91","1,780.06","1,691.38","607.00K","-3.35%"
"03/26/2023","1,774.06","1,742.32","1,796.77","1,739.39","371.97K","1.82%"
"03/25/2023","1,742.34","1,749.28","1,761.66","1,714.43","368.84K","-0.40%"
"03/24/2023","1,749.26","1,813.62","1,818.53","1,728.69","602.30K","-3.57%"
"03/23/2023","1,814.08","1,734.32","1,852.48","1,729.38","767.73K","4.59%"
"03/22/2023","1,734.48","1,801.58","1,818.47","1,711.05","933.24K","-3.83%"
"03/21/2023","1,803.54","1,732.32","1,833.12","1,719.55","779.81K","4.11%"
"03/20/2023","1,732.31","1,780.12","1,802.76","1,723.90","716.26K","-2.65%"
"03/19/2023","1,779.47","1,758.70","1,838.84","1,758.66","574.73K","1.18%"
"03/18/2023","1,758.70","1,789.38","1,833.82","1,751.14","763.06K","-1.71%"
"03/17/2023","1,789.38","1,673.76","1,796.74","1,663.67","975.13K","6.90%"
"03/16/2023","1,673.85","1,649.66","1,689.09","1,634.21","660.14K","1.47%"
"03/15/2023","1,649.65","1,700.14","1,716.56","1,614.93","1.02M","-2.97%"
"03/14/2023","1,700.15","1,673.83","1,776.65","1,655.74","1.36M","1.57%"
"03/13/2023","1,673.93","1,580.28","1,690.18","1,565.83","1.30M","5.93%"
"03/12/2023","1,580.24","1,472.08","1,585.09","1,452.33","1.06M","7.42%"
"03/11/2023","1,471.15","1,426.74","1,475.92","1,408.58","1.43M","3.11%"
"03/10/2023","1,426.75","1,437.49","1,437.49","1,371.47","1.01M","-0.82%"
"03/09/2023","1,438.50","1,533.04","1,545.98","1,413.17","764.77K","-6.17%"
"03/08/2023","1,533.04","1,561.79","1,569.70","1,531.28","478.44K","-1.84%"
"03/07/2023","1,561.78","1,565.84","1,580.95","1,536.31","460.10K","-0.26%"
"03/06/2023","1,565.84","1,564.36","1,581.13","1,555.43","322.16K","0.09%"
"03/05/2023","1,564.37","1,566.73","1,587.95","1,556.84","313.01K","-0.15%"
"03/04/2023","1,566.73","1,569.45","1,577.02","1,550.10","247.02K","-0.14%"
