"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2023","0.5225","0.5403","0.5586","0.5209","47.65M","-3.29%"
"11/28/2023","0.5403","0.5139","0.5454","0.4893","71.00M","5.13%"
"11/27/2023","0.5139","0.5346","0.5530","0.4992","78.93M","-3.87%"
"11/26/2023","0.5346","0.5325","0.5438","0.5098","44.55M","0.20%"
"11/25/2023","0.5335","0.5317","0.5401","0.5179","48.97M","0.34%"
"11/24/2023","0.5317","0.4962","0.5659","0.4941","100.53M","7.15%"
"11/23/2023","0.4962","0.5159","0.5219","0.4856","64.20M","-3.81%"
"11/22/2023","0.5159","0.4607","0.5483","0.4607","114.71M","11.97%"
"11/21/2023","0.4607","0.5199","0.5407","0.4607","160.89M","-11.38%"
"11/20/2023","0.5199","0.4995","0.5785","0.4990","183.52M","4.08%"
"11/19/2023","0.4995","0.4623","0.5168","0.4481","140.91M","8.04%"
"11/18/2023","0.4623","0.4423","0.4665","0.3961","105.14M","4.53%"
"11/17/2023","0.4423","0.4334","0.4782","0.4146","149.07M","2.05%"
"11/16/2023","0.4334","0.4458","0.4531","0.4131","124.55M","-2.78%"
"11/15/2023","0.4458","0.3840","0.4487","0.3789","90.71M","16.00%"
"11/14/2023","0.3843","0.3737","0.3967","0.3612","83.28M","2.82%"
"11/13/2023","0.3737","0.4296","0.4384","0.3737","76.24M","-12.86%"
"11/12/2023","0.4289","0.4260","0.4342","0.3949","78.10M","0.68%"
"11/11/2023","0.4260","0.4428","0.4525","0.4187","106.02M","-3.79%"
"11/10/2023","0.4428","0.3903","0.4428","0.3722","117.87M","13.44%"
"11/09/2023","0.3903","0.3714","0.4096","0.3404","124.19M","5.08%"
"11/08/2023","0.3714","0.3636","0.3806","0.3585","51.13M","2.15%"
"11/07/2023","0.3636","0.3904","0.3937","0.3483","91.61M","-6.86%"
"11/06/2023","0.3904","0.3648","0.4064","0.3572","93.90M","7.01%"
"11/05/2023","0.3648","0.3609","0.3738","0.3467","56.08M","1.09%"
"11/04/2023","0.3609","0.3563","0.3653","0.3507","41.84M","1.30%"
"11/03/2023","0.3563","0.3478","0.3676","0.3302","70.11M","2.44%"
"11/02/2023","0.3478","0.3852","0.3886","0.3415","71.14M","-9.70%"
"11/01/2023","0.3852","0.3635","0.3865","0.3392","92.35M","5.97%"
"10/31/2023","0.3635","0.3586","0.3783","0.3381","93.28M","1.36%"
"10/30/2023","0.3586","0.3657","0.3785","0.3565","75.63M","-1.94%"
"10/29/2023","0.3657","0.3518","0.3901","0.3478","116.83M","3.95%"
"10/28/2023","0.3518","0.3181","0.3643","0.3133","123.98M","10.59%"
"10/27/2023","0.3181","0.2963","0.3237","0.2862","118.73M","7.36%"
"10/26/2023","0.2963","0.3025","0.3106","0.2791","91.99M","-2.05%"
"10/25/2023","0.3025","0.2747","0.3184","0.2700","155.46M","10.12%"
"10/24/2023","0.2747","0.2516","0.2861","0.2467","169.81M","9.20%"
"10/23/2023","0.2516","0.2324","0.2516","0.2264","81.24M","8.25%"
"10/22/2023","0.2324","0.2271","0.2342","0.2215","47.41M","2.33%"
"10/21/2023","0.2271","0.2185","0.2333","0.2167","60.77M","3.94%"
"10/20/2023","0.2185","0.2038","0.2228","0.2034","71.45M","7.21%"
"10/19/2023","0.2038","0.2030","0.2065","0.1993","40.22M","0.37%"
"10/18/2023","0.2031","0.2060","0.2098","0.2024","23.02M","-1.42%"
"10/17/2023","0.2060","0.2139","0.2159","0.2036","29.35M","-3.70%"
"10/16/2023","0.2139","0.2119","0.2221","0.2108","36.54M","0.96%"
