"DateTime","BTC","ETH","USDT","BNB","SOL","Others"
"2016-01-10 02:00:00",6752207450.646973,75031161.85669157,1451600,0,0,555609819.4963357
"2016-01-17 02:00:00",5842269904.621124,93207495.47421634,1452172.7763176,0,0,510330587.12834144
"2016-01-24 02:00:00",5867294005.157471,145357921.2329514,1451776.67813301,0,0,527976296.9314449
"2016-01-31 02:00:00",5729876279.747009,187288793.43793204,1451600,0,0,609143198.8150584
"2016-02-07 02:00:00",5714757845.423126,194883946.31532037,1451600,0,0,666956656.261553
"2016-02-14 02:00:00",5975579008.348846,416193451.4741296,1451600,0,0,712965764.1770244
"2016-02-21 02:00:00",6669256895.226288,336572452.30866957,1451600,0,0,740598988.4650421
"2016-02-28 02:00:00",6600315176.773071,495545000.9475417,1451600,0,0,738218462.279387
"2016-03-06 02:00:00",6121408382.106018,868737165.6436253,1451599.8269558,0,0,731973028.4234014
"2016-03-13 02:00:00",6302326831.970215,1049934286.903935,1451449.19197559,0,0,842667591.9338751
"2016-03-20 02:00:00",6293608466.287231,822294753.29984,1451593.57738781,0,0,796255426.8355408
"2016-03-27 02:00:00",6423042999.311829,862207437.5559167,1451591,0,0,842207796.1322547
"2016-04-03 03:00:00",6480475540.113831,915178309.290757,1451591,0,0,814574815.5954125
"2016-04-10 03:00:00",6467328064.052582,722132721.7226561,1451591,0,0,755897479.2247624
"2016-04-17 03:00:00",6649170351.501465,682467508.2923956,1451591,0,0,752260437.2061396
"2016-04-24 03:00:00",6968576354.238129,658203215.0459644,1451591,0,0,800118791.7159073
"2016-05-01 03:00:00",6940220694.683228,699881220.751383,1951591,0,0,778426493.5653895
"2016-05-08 03:00:00",7114057186.376953,748029355.1996636,1951591,0,0,791002379.4233832
"2016-05-15 03:00:00",7084755186.846924,819397650.2803826,1958462.95002532,0,0,780488891.9226682
"2016-05-22 03:00:00",6900706986.16333,1126810311.2222595,1951591,0,0,789351207.6144104
"2016-05-29 03:00:00",8226502854.4281,974781807.2385765,1951591,0,0,839263843.3333237
"2016-06-05 03:00:00",8955049694.410706,1110685556.8944552,2951591,0,0,1030312965.6948383
"2016-06-12 03:00:00",9539851633.447266,1148076033.926306,2951591,0,0,1067420901.6264277
"2016-06-19 03:00:00",11859832811.251831,906288322.0174795,5951586.03360546,0,0,1100627696.697085
"2016-06-26 03:00:00",10454854635.791016,1160585678.5058317,5951641.37343037,0,0,1099908524.3297224
"2016-07-03 03:00:00",11086081265.444946,989130563.24469,5951591,0,0,1185736548.3103645
"2016-07-10 03:00:00",10247292403.9292,896902499.3366247,5951586.38834792,0,0,1170953286.345829
"2016-07-17 03:00:00",10434741391.769531,953757991.0195353,6951613.37474406,0,0,1471648651.8361893
"2016-07-24 03:00:00",10338572708.245605,1176252970.999868,6951591,0,0,1459422601.7545257
"2016-07-31 03:00:00",10340889221.834473,1026305197.7817394,6951648.17990148,0,0,1408653804.2038865
"2016-08-07 03:00:00",9285937038.234375,898343259.0244242,6948510.74356806,0,0,1455671415.9976327
"2016-08-14 03:00:00",9258735937.789307,960854022.264029,6951586.85652888,0,0,1385058325.0901346
"2016-08-21 03:00:00",9208215376.018066,936015579.3310342,6951591,0,0,1387817773.6508994
"2016-08-28 03:00:00",9023610648.69873,929687679.977573,6951591,0,0,1293850048.3236966
"2016-09-04 03:00:00",9486373844.831543,982950196.8604736,6951591,0,0,1389424719.3079834
"2016-09-11 03:00:00",9887773726.851562,1023632916.1854256,6951590.95,0,0,1437641510.013012
"2016-09-18 03:00:00",9623944105.50293,1066616876.8476087,6951584.73479336,0,0,1417987464.914668
"2016-09-25 03:00:00",9575355371.191406,1083511238.378864,6951585.97783469,0,0,1424782252.451895
"2016-10-02 03:00:00",9761333067.216797,1114202868.5178769,6951590.95,0,0,1365412633.3153262
"2016-10-09 03:00:00",9852485145.301025,1035586352.1538004,6951590.95,0,0,1400377359.5951734
"2016-10-16 03:00:00",10176766350.921387,1018540090.9867743,6951590.85,0,0,1377141647.24184
"2016-10-23 03:00:00",10479669329.550293,1033971025.5134252,6951589.31565296,0,0,1424807863.6206295
"2016-10-30 03:00:00",11388836334.27246,891168049.5067457,6951589.73,0,0,1288944186.4907932
"2016-11-06 02:00:00",11233033306.5,941732522.9437547,6951588.73,0,0,1366582869.8262453
"2016-11-13 02:00:00",11264543084.390625,849341460.2547004,6951589.8,0,0,1354563545.5546753
"2016-11-20 02:00:00",12027477304.940796,832050375.9741255,6951589.8,0,0,1307720537.2850795
"2016-11-27 02:00:00",11773780502.435303,804084701.7126092,6951589.8,0,0,1285683046.0520883
"2016-12-04 02:00:00",12363543726.333618,684257741.6840858,6951736.3988507,0,0,1273546315.5834453
"2016-12-11 02:00:00",12423597454.083069,705363349.7403085,6951595.5208585,0,0,1266087472.6557634
"2016-12-18 02:00:00",12694811835.481445,684028136.9125097,6951771.20400172,0,0,1294308096.402044
"2016-12-25 02:00:00",14450083950.583008,633791855.0328326,6951626.18253916,0,0,1409872728.2016203
"2017-01-01 02:00:00",15491191078.515625,698148582.0688164,9951670.38989195,0,0,1536208445.0256667
"2017-01-08 02:00:00",14611436883.27356,865667437.132406,14951726.29000756,0,0,1506343953.304027
"2017-01-15 02:00:00",13174247860.40039,864036600.1727229,14952066.32778589,0,0,1480363217.0991006
"2017-01-22 02:00:00",14863609421.691895,961461115.2097723,14951704.90158531,0,0,1609677086.1967478
"2017-01-29 02:00:00",14873957220.629883,933090757.8819255,14951770.84922057,0,0,1646299514.6389713
"2017-02-05 02:00:00",16847343179.296875,1013392172.7695622,24951571.4960008,0,0,1782813556.437562
"2017-02-12 02:00:00",16214597429.196167,1008032746.7246307,24950975.17926645,0,0,1723819040.8999357
"2017-02-19 02:00:00",17056569066.050903,1140873274.1515598,24951216.1048975,0,0,1734606635.6926394
"2017-02-26 02:00:00",18518937117.1875,1206149617.4440057,24952084.62692547,0,0,1707561692.7415688
"2017-03-05 02:00:00",20315993973.510742,1655022306.3557363,24951229.41683534,0,0,1949232106.7166862
"2017-03-12 02:00:00",19073207581.58264,1924658489.803605,34951919.11158015,0,0,2202182329.502173
"2017-03-19 02:00:00",15846004246.58966,3193599257.3457375,44952207.55865801,0,0,2712044096.5059443
"2017-03-26 02:00:00",15814856914.366333,4574532781.124837,44947036.5478812,0,0,3014063139.96095
"2017-04-02 03:00:00",17559345252.629883,4582702035.411706,54927878.02020939,0,0,3955925441.938202
"2017-04-09 03:00:00",19134336512.3291,4009004642.0493345,54935165.6226505,0,0,4710423839.998913
"2017-04-16 03:00:00",19085099185.74463,4450139912.377387,50740673.16130089,0,0,5080119940.716683
"2017-04-23 03:00:00",20066218960.474487,4420033151.895394,51488828.56356526,0,0,5404459379.066553
"2017-04-30 03:00:00",21548458537.61902,6248835922.669989,59055708.80743052,0,0,7460451366.903563
"2017-05-07 03:00:00",25768507379.681396,8942951789.735611,60446157.40897137,0,0,11544294609.174023
"2017-05-14 03:00:00",29405073820.05249,8322378946.918215,60697425.2712863,0,0,16897250895.758009
"2017-05-21 03:00:00",33779318021.23535,11705707879.041588,61940825.28653637,0,0,25468834106.436523
"2017-05-28 03:00:00",33595986106.78125,14608584507.765928,107331369.83360338,0,0,20309897439.619217
"2017-06-04 03:00:00",41708285206.15137,20659812407.622643,107470687.91369055,0,0,28360735570.3123
"2017-06-11 03:00:00",48208688680.85327,31296814564.868416,130665290.59722601,0,0,30557831335.681084
"2017-06-18 03:00:00",43539274675.92505,35133780828.741135,126049772.96925528,0,0,33744892674.364563
"2017-06-25 03:00:00",42783762418.407715,30005926010.10971,147510147.91921377,0,0,36283804687.56336
"2017-07-02 03:00:00",40010469450.41504,25572795595.652786,219180430.46368217,0,0,29920157019.468494
"2017-07-09 03:00:00",42283166364.62402,23454654721.822594,219893503.28026947,0,0,30554285410.273113
"2017-07-16 03:00:00",32767572892.295044,15823085102.549568,295162363.33218396,0,0,21255877689.823204
"2017-07-23 03:00:00",46231142026.9043,21418291139.680656,317831289.2023646,0,0,29627939128.21268
"2017-07-30 03:00:00",44890666009.765625,19360924119.191154,318471136.1117538,10793543.60699654,0,25817144295.32447
"2017-08-06 03:00:00",53720893168.078125,24053474689.71757,320093043.8381069,12929250.29993057,0,34502610744.06627
"2017-08-13 03:00:00",64034105430.64307,29161053351.9637,319661283.82000333,44598975.77762604,0,40705584989.79561
"2017-08-20 03:00:00",69192659044.06738,27918126333.29114,318596320.415119,0,0,48662617534.22636
"2017-08-27 03:00:00",71809248347.18848,31517529778.568184,319542631.14583033,217996716.4993286,0,52897679838.59818
"2017-09-03 03:00:00",75841707835.36377,33059801352.57063,348835807.88150537,0,0,55618439132.1841
"2017-09-10 03:00:00",70018089815.18408,27797226686.924053,405081602.55834347,98207825.42228699,0,49186857365.91124
"2017-09-17 03:00:00",59757816343.82349,23272527159.31867,445726238.9848585,0,0,40051147409.872986
"2017-09-24 03:00:00",62954280981.84375,27129873954.83502,443271716.7484967,77580380.4397583,0,41155964742.13298
"2017-10-01 03:00:00",72047302431.67725,28615152628.041237,435866669.4502126,128417861.4616394,0,46668646521.36967
"2017-10-08 03:00:00",73575423619.72656,29550901434.901974,436235346.77403927,157617509.3650818,0,46241181449.23234
"2017-10-15 03:00:00",97011856641.94922,32292086679.087547,437236582.902949,149512708.18710327,0,46833193467.873184
"2017-10-22 03:00:00",100437913823.19092,28624836350.10986,437025998.59791183,124292467.51117706,0,43499662816.59013
"2017-10-29 03:00:00",95819797362.625,28270164668.727932,438159660.84177554,116675469.37251091,0,44367385878.432785
"2017-11-05 02:00:00",123388099786.76758,28661500792.56388,494443671.5379148,162104811.7313385,0,46805554489.399284
"2017-11-12 02:00:00",104979754887.37451,30106190878.701576,597637605.4915965,165243179.31485176,0,64702376265.11746
"2017-11-19 02:00:00",129594711885.87646,33284903532.34492,645544981.8454372,165686207.7023983,0,69935933040.23077
"2017-11-26 02:00:00",146789224290.6709,44712118250.5426,677815034.5794221,187605725.90398788,0,88930165466.30309
"2017-12-03 02:00:00",185258241069.73438,44560454568.45828,814847511.4861153,206484986.28807065,0,98227074072.03316
"2017-12-10 02:00:00",253781735593.31055,45501434898.9938,831977608.4432819,263509682.5184822,0,116547709960.7339
"2017-12-17 02:00:00",326141276696.77734,67106371107.75246,1132154310.1818848,462329807.92713165,0,184678363693.36118
"2017-12-24 02:00:00",244823689711.0371,69671214843.83948,1279864354.3460817,469508440.0167465,0,250039322522.76056
"2017-12-31 02:00:00",216325594543.11523,68850777144.52411,1401350863.095474,768675994.2350388,0,272408832687.03015
"2018-01-07 02:00:00",294222374388.42773,100981177275.99739,1478767718.3802078,2254460630.405426,0,416222466834.78925
"2018-01-14 02:00:00",241446796530.46875,135503313336.85315,1474488550.1805792,2203405214.6759033,0,363636692175.82166
"2018-01-21 02:00:00",216740288318.27832,112225744106.81387,1622821100.2107635,1608866076.0116577,0,298437906894.68536
"2018-01-28 02:00:00",193133122544.20312,108121955540.07835,1612504589.9468532,1317057887.369156,0,257791998926.40253
"2018-02-04 02:00:00",154553293824.21094,93953421901.99908,2226848162.7964187,964954684.8316193,0,195506726354.16196
"2018-02-11 02:00:00",145244590726.04102,83813030803.41745,2228046516.140442,911014993.0648804,0,190050355937.3362
"2018-02-18 02:00:00",187662857038.64746,95077121296.41678,2227521080.223389,1157727816.2288666,0,227662824224.48352
"2018-02-25 02:00:00",165406721994.92188,82119104314.46446,2227758425.018919,906298736.6905212,0,180560672304.90424
"2018-03-04 02:00:00",194289262407.26855,83877819099.82428,2217572950.2022843,1010655233.6502075,0,181921928069.0547
"2018-03-11 02:00:00",149716277655.0293,67235677481.78839,2224830203.4268517,757333032.2217941,0,141829189147.53366
"2018-03-18 02:00:00",133547310223.09424,54200091108.53039,2228614504.9662704,886909640.7394409,0,116843569498.66966
"2018-03-25 02:00:00",145881979776.7578,51431555387.34921,2287423004.646584,1300568742.3553467,0,128984939136.89105
"2018-04-01 03:00:00",118705194446.6919,39144659014.4035,2277309792.7018266,1104193688.8942719,0,102639713265.3085
"2018-04-08 03:00:00",117392196990.56494,38065416617.55047,2290638074.9506235,1454721303.488529,0,100770425541.44545
"2018-04-15 03:00:00",135811551540.34424,49696276124.796585,2278695801.003267,1546025894.9746277,0,129706299662.88129
"2018-04-22 03:00:00",151650992414.84375,59985528066.946556,2297004415.8257356,1522941113.627042,0,170403183524.75693
"2018-04-29 03:00:00",158927938837.82812,67782362148.97,2414399395.909375,1729339691.600613,0,197967832565.6919
"2018-05-06 03:00:00",167541393237.18555,81000235559.96428,2257858452.8696094,1637897060.614393,0,214808212361.36615
"2018-05-13 03:00:00",145021599488.08594,68304030965.73708,2208214046.09665,1483453712.230588,0,173034492635.84973
"2018-05-20 03:00:00",140555895373.82812,69472771049.13219,2510830717.7906156,1636510284.1764498,0,162003811071.07263
"2018-05-27 03:00:00",125574874140.78369,58667599538.043816,2511545924.4097295,1458098684.0343254,0,140634553584.72845
"2018-06-03 03:00:00",130287654873.13232,59026063940.21538,2487158364.9837074,1674348366.7209392,0,150075234358.94766
"2018-06-10 03:00:00",128128073573.2461,59420125573.90853,2530640243.4690123,1816513996.3313618,0,143647492053.045
"2018-06-17 03:00:00",111912883448.4375,50005817441.880295,2619828876.5121675,1799459288.970122,0,113729222208.19992
"2018-06-24 03:00:00",105480098609.375,47601899172.95326,2604208302.3035665,1775725411.2392328,0,99908065816.12894
"2018-07-01 03:00:00",109797137754.1748,45709527738.627365,2699893267.5384617,1673692771.9936297,0,97861482355.66574
"2018-07-08 03:00:00",117521511766.54688,49477697956.46474,2619159112.5364504,1641955048.4155486,0,107087747028.03639
"2018-07-15 03:00:00",107572806366.88477,43890752259.10555,2713583376.0966063,1378565298.8725615,0,93969303131.04051
"2018-07-22 03:00:00",127307892716.55176,46630921233.77792,2660382024.608585,1164183028.1292975,0,103823251652.93243
"2018-07-29 03:00:00",140951375507.8125,47149571428.20905,2498122108.8888597,1394301335.7756472,0,105794971891.31393
"2018-08-05 03:00:00",120869247490.27734,41192725335.544624,2432197417.3927894,1323679384.7868052,0,87975317512.11844
"2018-08-12 03:00:00",108106451581.64062,32489149687.568134,2421279978.8619423,1116316003.7606323,0,68404917219.26866
"2018-08-19 03:00:00",110582598383.59375,29984192043.43512,2736760882.058856,947620321.7714639,0,68361524686.740814
"2018-08-26 03:00:00",116387236697.7539,28386921152.66856,2801107289.45091,966035368.2460184,0,68927203005.69061
"2018-09-02 03:00:00",123981305469.85938,30046692957.1854,2733544309.5170245,1092034444.938952,0,78945864600.41925
"2018-09-09 03:00:00",107397286192.44727,20203492381.20341,2762867706.7736955,912022738.3879004,0,61965784372.137726
"2018-09-16 03:00:00",112887643665.2622,22721984527.082306,2768526045.1162877,966242410.9067593,0,64085020333.45244
"2018-09-23 03:00:00",116058736871.61963,24611501925.306934,2795653692.4364905,1155118101.5729046,0,79787903775.86404
"2018-09-30 03:00:00",114234369232.32422,23657737548.50237,2810691616.9413967,1174837339.6018696,0,80304987020.01015
"2018-10-07 03:00:00",114074648409.7168,23087109195.290813,2800634328.507343,1221312395.274273,0,76689149597.27077
